experiment_id,dataset,protocol,method_or_component,role,formal_case_n,cluster_n,aggregation,inference_attempt_n,inference_failure_n,coverage_denominator_n,idf1_denominator_n,w_support_case_n,w_support_cluster_n,wa_support_case_n,wa_support_cluster_n,local_support_case_n,local_support_cluster_n,ate_sim3_support_case_n,ate_sim3_support_cluster_n,other_support,source,publication_status,notes
EgoHumans-CS100,EgoHumans,EgoHumans-CS100,Strict Human3R,internal formal,90,27,case macro; paired statistics clustered by capture,90,0,90,90,90,,90,,90,,90,,internal_complete:90,Movie3R/output/v19_egohumans/test/summary/case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
EgoHumans-CS100,EgoHumans,EgoHumans-CS100,BRIDGE3R,internal formal,90,27,case macro; paired statistics clustered by capture,90,0,90,90,90,,90,,90,,90,,internal_complete:90,Movie3R/output/v19_egohumans/test/summary/case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
EgoHumans-CS100,EgoHumans,EgoHumans-CS100,PromptHMR (no-SPEC adapter),external executable,90,27,case macro; paired statistics clustered by capture,90,51,90,90,17,,25,,25,,39,,inference_failed:51;success:39,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
EgoHumans-CS100,EgoHumans,EgoHumans-CS100,PromptHMR (official SPEC),external executable,90,27,case macro; paired statistics clustered by capture,90,51,90,90,17,,25,,25,,39,,inference_failed:51;success:39,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
EgoHumans-CS100,EgoHumans,EgoHumans-CS100,TRACE (official adapter),external executable,90,27,case macro; paired statistics clustered by capture,90,10,90,90,43,,59,,59,,0,,failed:10;success:80,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
Harmony4D-CS150,Harmony4D,Harmony4D-CS150,Strict Human3R,internal formal,88,25,case macro; paired statistics clustered by capture,88,0,88,88,88,,88,,88,,88,,internal_complete:88,Movie3R/output/v17_harmony4d/unified_half_translation_audit/paper/case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
Harmony4D-CS150,Harmony4D,Harmony4D-CS150,BRIDGE3R,internal formal,88,25,case macro; paired statistics clustered by capture,88,0,88,88,88,,88,,88,,88,,internal_complete:88,Movie3R/output/v17_harmony4d/unified_half_translation_audit/paper/case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
Harmony4D-CS150,Harmony4D,Harmony4D-CS150,PromptHMR (no-SPEC adapter),external executable,88,25,case macro; paired statistics clustered by capture,88,12,88,88,5,,25,,25,,76,,inference_failed:12;success:76,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
Harmony4D-CS150,Harmony4D,Harmony4D-CS150,PromptHMR (official SPEC),external executable,88,25,case macro; paired statistics clustered by capture,88,12,88,88,5,,26,,26,,76,,inference_failed:12;success:76,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
Harmony4D-CS150,Harmony4D,Harmony4D-CS150,TRACE (official adapter),external executable,88,25,case macro; paired statistics clustered by capture,88,0,88,88,4,,26,,26,,0,,success:88,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,candidate after denominator-aware table rewrite,Automatically reaggregated on the formal case-ID manifest; geometry is conditional on finite support.
