claim_id,claim,scope,evidence_source,status,caveat
C01,"BRIDGE3R is a causal camera--human bridge built on a Human3R-derived recurrent reconstructor.","Method definition","publication/bridge3r_iclr2027/PAPER_METHOD_LOCK.json; publication/bridge3r_iclr2027/runtime_contract.py; publication/bridge3r_iclr2027/METHOD_TO_CODE_FACT_AUDIT_20260829.md","supported","The contribution is the same-scene boundary operation; do not claim dense-scene improvement or backbone independence."
C02,"On EgoBody, BRIDGE3R improves recording-macro W-MPJPE, WA-MPJPE, ATE-Sim3, and IDF1 over continuous-state Human3R while retaining local body quality.","EgoBody paired comparison","output/v20_egobody/formal/test/aggregate/summary.json","supported","Use all 43 recordings and 129 cases; preserve paired uncertainty and identical-coverage accounting."
C03,"On identical EgoBody RGB clips, BRIDGE3R has higher complete-denominator IDF1 and Coverage than executable TRACE and PromptHMR-SPEC references.","EgoBody public-method reference","output/v20_egobody/formal/test/aggregate/summary.json; ICLR paper artifacts/egobody_executable_reference_table.tex","supported with interface disclosure","TRACE and PromptHMR geometry is conditional on method-specific finite support; this is not an equal-temporal-access or common-support ranking."
C04,"On the fixed EgoHumans 90-clip protocol, BRIDGE3R improves W-MPJPE, WA-MPJPE, ATE-SE3, and IDF1 over continuous-state Human3R.","EgoHumans paired comparison","output/v19_egohumans/test/summary/summary.json","supported","All paired point estimates use the same 90 clips; Coverage changes from 0.639 to 0.616 and must remain visible."
C05,"The same configuration improves WA-MPJPE, ATE-Sim3, and IDF1 over continuous-state Human3R on the Harmony4D 88-case protocol.","Harmony4D paired comparison","output/v17_harmony4d/unified_half_translation_audit/paper/summary.json","supported with mixed-result disclosure","Do not claim all-metric dominance: W-MPJPE increases from 496.6 to 519.6 mm and Coverage decreases slightly."
C06,"Across the dataset-equal macro, gains are larger on the pre-defined extreme/farthest-view subsets than across all views.","Cross-dataset viewpoint analysis","publication/bridge3r_iclr2027/build_cross_dataset_viewpoint_evidence.py; ICLR paper artifacts/cross_dataset_viewpoint/viewpoint_evidence.json","supported","Report every dataset and retain the unresolved Harmony4D extreme-view W result; do not claim monotonicity with angle."
C07,"BRIDGE3R exceeds HumanMM or Multi-THuMBS under a common executable protocol.","Unavailable-code literature","../paper/HumanMM.pdf; ../paper/Multi-THuMBS.pdf","unsupported","Use protocol-level literature context only; do not insert source-paper values into a same-input result table."
C08,"BRIDGE3R preserves emitted history and composes across repeated same-scene boundary events.","Causal mechanism","publication/bridge3r_iclr2027/runtime_contract.py; tests/test_publication_runtime_contract.py; output/v17_harmony4d/multicut_formal","supported within stated scope","Real repeated-cut evidence contains four Harmony4D streams and belongs in the supplement; it is not a large multi-cut benchmark."
C09,"BRIDGE3R handles arbitrary cross-scene edited video or improves dense scene geometry.","Out of scope","publication/bridge3r_iclr2027/PAPER_METHOD_LOCK.json","unsupported","Restrict claims to same-scene viewpoint cuts and camera--human consistency."
C10,"The new MVHuman captures provide positive evidence that the automatic detector correctly bridges weak-texture hard cuts.","MVHuman weak-texture stress audit","output/bridge3r_mvhuman_v1/internal/formal_aggregate.json; output/bridge3r_mvhuman_v1/protocol_freeze","unsupported","The detector fires early in 40/50 streams; retain the 50-case result only as a supplementary end-to-end availability/failure audit and do not replace detection with the annotated boundary."
C11,"GVHMR is a full-denominator MVHuman baseline.","MVHuman public-method availability","output/bridge3r_mvhuman_v1/gvhmr_official/gvhmr_pilot_gate_failed_sealed.json","unsupported","The pre-specified 12-case pilot completes 10/12 and fails its expansion gate; do not report its ten-case conditional geometry as a leaderboard."
C12,"BRIDGE3R outperforms PromptHMR on the held-out MVHuman stress protocol.","MVHuman public-method comparison","output/bridge3r_mvhuman_v1/prompthmr_formal50/audit/formal_ledger.json","unsupported","PromptHMR completes 50/50 and has lower anchor and seam-root errors, while BRIDGE3R has lower relative camera-rotation error. PromptHMR is offline and BRIDGE3R's causal proposal fires early in 40/50 cases; retain the result only as a supplementary availability/failure audit."
